step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,0.9574,-0.7750,0.1733,-0.0000,-0.0140,0.0000,flat,18.0,0,5.769
20,0.64,1.2173,-0.7761,0.1793,0.0000,0.0029,-0.0300,flat,18.0,0,5.573
30,0.96,1.5916,-0.8027,0.1797,-0.0002,-0.0001,-0.3460,flat,18.0,0,5.283
40,1.28,1.9955,-0.9961,0.1799,-0.0004,0.0003,-0.6608,flat,18.0,0,4.862
50,1.60,2.3587,-1.3316,0.1799,-0.0003,0.0000,-0.8479,flat,18.0,0,4.369
60,1.92,2.6885,-1.7475,0.1799,-0.0001,-0.0000,-0.9638,flat,18.0,0,3.840
70,2.24,2.9976,-2.2152,0.1799,-0.0001,0.0000,-1.0098,flat,18.0,0,3.290
80,2.56,3.3020,-2.6959,0.1799,0.0000,0.0000,-0.9943,flat,18.0,0,2.739
90,2.88,3.6116,-3.1579,0.1799,0.0002,0.0000,-0.9502,flat,18.0,0,2.205
100,3.20,3.9338,-3.5868,0.1799,0.0001,0.0000,-0.8863,flat,18.0,0,1.692
110,3.52,4.2438,-3.9508,0.1799,0.0002,0.0001,-0.8334,flat,18.0,0,1.239
120,3.84,4.5232,-4.2426,0.1799,0.0002,0.0002,-0.7692,transition,15.0,1,12.264
130,4.16,4.7365,-4.4216,0.1817,0.0105,-0.0011,-0.5960,transition,15.0,1,12.497
140,4.48,4.9219,-4.4959,0.1854,-0.0363,-0.0329,-0.1001,slope,18.0,1,12.624
150,4.80,5.0849,-4.4717,0.1971,-0.0590,-0.0374,0.7206,rough,14.0,1,12.653
160,5.12,5.2120,-4.2459,0.1933,-0.0902,-0.0338,1.0340,rough,14.0,1,12.481
170,5.44,5.3060,-3.9480,0.1961,-0.0827,-0.0002,1.3679,rough,14.0,1,12.234
180,5.76,5.3184,-3.6087,0.1877,-0.0390,0.0013,1.6918,rough,14.0,1,11.921
190,6.08,5.2371,-3.2180,0.1796,-0.0144,0.0065,1.8816,flat,18.0,1,11.527
200,6.40,5.0689,-2.7067,0.1794,0.0024,-0.0003,1.9025,flat,18.0,1,10.990
210,6.72,4.8809,-2.1678,0.1798,0.0003,-0.0000,1.9156,flat,18.0,1,10.420
220,7.04,4.6857,-1.6301,0.1798,0.0001,-0.0000,1.9257,flat,18.0,1,9.848
230,7.36,4.4852,-1.0921,0.1799,0.0000,-0.0000,1.9302,flat,18.0,1,9.274
240,7.68,4.2825,-0.5533,0.1799,0.0000,-0.0000,1.9307,flat,18.0,1,8.699
250,8.00,4.0802,-0.0147,0.1799,-0.0000,0.0000,1.9290,flat,18.0,1,8.123
260,8.32,3.8791,0.5239,0.1799,-0.0000,0.0000,1.9260,flat,18.0,1,7.549
270,8.64,3.6797,1.0632,0.1799,-0.0000,-0.0000,1.9229,flat,18.0,1,6.974
280,8.96,3.4817,1.6032,0.1799,-0.0000,-0.0000,1.9205,flat,18.0,1,6.399
290,9.28,3.2849,2.1440,0.1799,-0.0000,-0.0000,1.9189,flat,18.0,1,5.825
300,9.60,3.0887,2.6852,0.1799,-0.0000,-0.0000,1.9182,flat,18.0,1,5.250
310,9.92,2.8935,3.2230,0.1799,-0.0000,0.0000,1.9022,flat,18.0,1,4.679
320,10.24,2.7246,3.7428,0.1799,-0.0002,0.0001,1.8574,transition,15.0,1,4.135
330,10.56,2.5973,4.1707,0.1799,0.0000,0.0000,1.8797,rough,14.0,1,3.693
340,10.88,2.4633,4.5821,0.1799,0.0000,0.0000,1.8751,rough,14.0,1,3.265
350,11.20,2.3518,4.8645,0.2398,-0.0851,-0.3307,1.8566,rough,14.0,1,2.962
360,11.52,2.2458,5.1559,0.3427,-0.1777,-0.3746,1.8146,rough,14.0,1,2.655
370,11.84,2.1561,5.4301,0.4593,-0.2348,-0.4505,1.8220,rough,14.0,1,2.370
380,12.16,2.0685,5.7175,0.6231,-0.2601,-0.5314,1.8397,slope,18.0,1,2.077
390,12.48,1.9494,6.0830,0.8228,-0.3455,-0.5325,1.8138,slope,18.0,1,1.703
400,12.80,1.8525,6.4280,1.0263,-0.3704,-0.5973,1.7690,slope,18.0,1,1.366
410,13.12,1.7842,6.7216,1.2203,-0.3710,-0.5701,1.7996,slope,18.0,1,1.099
420,13.44,1.7173,6.9747,1.3850,-0.3432,-0.6034,1.7858,rough,14.0,2,15.288
430,13.76,1.6772,7.1119,1.4779,-0.3014,-0.6254,1.7429,rough,14.0,2,15.370
440,14.08,1.6445,7.0880,1.4500,-0.2960,-0.6176,1.7339,rough,14.0,2,15.331
450,14.40,1.6181,6.9173,1.3163,-0.2686,-0.6321,1.6780,rough,14.0,2,15.181
460,14.72,1.6142,6.6955,1.1502,-0.2251,-0.6222,1.5965,slope,18.0,2,15.007
470,15.04,1.6133,6.5344,1.0367,-0.2245,-0.6178,1.6109,slope,18.0,2,14.882
480,15.36,1.6047,6.4482,0.9719,-0.2346,-0.6123,1.6318,slope,18.0,2,14.810
490,15.68,1.5903,6.4302,0.9548,-0.2367,-0.6100,1.6402,slope,18.0,2,14.787
500,16.00,1.5735,6.4800,0.9860,-0.2385,-0.6077,1.6492,slope,18.0,2,14.814
510,16.32,1.5508,6.5997,1.0632,-0.2540,-0.6041,1.6623,slope,18.0,2,14.892
520,16.64,1.5231,6.7899,1.1946,-0.2650,-0.6143,1.6784,slope,18.0,2,15.023
530,16.96,1.5077,6.8876,1.2652,-0.2380,-0.6454,1.6380,slope,18.0,2,15.089
540,17.28,1.5038,6.8314,1.2228,-0.2203,-0.6505,1.5988,slope,18.0,2,15.043
550,17.60,1.5040,6.7385,1.1538,-0.2068,-0.6350,1.5802,slope,18.0,2,14.971
560,17.92,1.5044,6.6459,1.0857,-0.2016,-0.6218,1.5803,slope,18.0,2,14.899
570,18.24,1.5030,6.5884,1.0449,-0.2083,-0.6206,1.5981,slope,18.0,2,14.853
580,18.56,1.4961,6.6094,1.0577,-0.2177,-0.6162,1.6113,slope,18.0,2,14.865
590,18.88,1.4833,6.7087,1.1229,-0.2272,-0.6019,1.6167,slope,18.0,2,14.934
600,19.20,1.4725,6.8391,1.2206,-0.2320,-0.6468,1.6205,slope,18.0,2,15.029
610,19.52,1.4695,6.8392,1.2202,-0.2215,-0.6529,1.6010,slope,18.0,2,15.027
620,19.84,1.4693,6.7460,1.1515,-0.2111,-0.6383,1.5830,slope,18.0,2,14.955
630,20.16,1.4703,6.6535,1.0826,-0.1998,-0.6216,1.5735,slope,18.0,2,14.883
640,20.48,1.4690,6.5722,1.0246,-0.2063,-0.6184,1.5925,slope,18.0,2,14.819
650,20.80,1.4641,6.5719,1.0235,-0.2130,-0.6178,1.6039,slope,18.0,2,14.816
660,21.12,1.4548,6.6535,1.0787,-0.2189,-0.6149,1.6043,slope,18.0,2,14.873
670,21.44,1.4453,6.7895,1.1766,-0.2157,-0.6454,1.5987,slope,18.0,2,14.974
680,21.76,1.4424,6.8208,1.2000,-0.2168,-0.6535,1.5923,slope,18.0,2,14.996
690,22.08,1.4425,6.7339,1.1362,-0.2106,-0.6377,1.5811,slope,18.0,2,14.928
700,22.40,1.4436,6.6417,1.0674,-0.1992,-0.6194,1.5713,slope,18.0,2,14.857
710,22.72,1.4438,6.5435,0.9981,-0.1988,-0.6202,1.5798,slope,18.0,2,14.781
720,23.04,1.4439,6.4610,0.9404,-0.2011,-0.6231,1.5936,slope,18.0,2,14.717
730,23.36,1.4385,6.4520,0.9328,-0.2134,-0.6194,1.6157,slope,18.0,2,14.707
740,23.68,1.4250,6.5198,0.9768,-0.2227,-0.6128,1.6229,slope,18.0,2,14.751
750,24.00,1.4111,6.6631,1.0751,-0.2296,-0.6076,1.6251,slope,18.0,2,14.854
760,24.32,1.4051,6.7151,1.1140,-0.2176,-0.6279,1.6057,slope,18.0,2,14.890
770,24.64,1.4037,6.6354,1.0537,-0.1967,-0.6166,1.5852,slope,18.0,2,14.827
780,24.96,1.4022,6.5428,0.9889,-0.2145,-0.6143,1.6162,slope,18.0,2,14.754
790,25.28,1.3944,6.4865,0.9476,-0.2548,-0.6019,1.6914,slope,18.0,2,14.706
800,25.60,1.3685,6.5217,0.9678,-0.2581,-0.5963,1.7060,slope,18.0,3,15.034
810,25.92,1.3315,6.6392,1.0435,-0.2524,-0.5879,1.7016,slope,18.0,3,15.099
820,26.24,1.2910,6.8297,1.1752,-0.2553,-0.6358,1.7132,slope,18.0,3,15.219
830,26.56,1.2650,7.0038,1.3006,-0.2262,-0.6349,1.6793,slope,18.0,3,15.337
840,26.88,1.2516,7.0290,1.3171,-0.2789,-0.6163,1.7708,slope,18.0,3,15.348
850,27.20,1.2332,6.9396,1.2464,-0.2445,-0.6343,1.7155,slope,18.0,3,15.267
860,27.52,1.2282,6.8399,1.1703,-0.1933,-0.6527,1.6250,slope,18.0,3,15.187
870,27.84,1.2285,6.7477,1.1028,-0.1641,-0.6286,1.5886,slope,18.0,3,15.116
880,28.16,1.2282,6.6569,1.0386,-0.1664,-0.6083,1.6076,slope,18.0,3,15.046
890,28.48,1.2201,6.5982,0.9939,-0.2175,-0.5843,1.6945,slope,18.0,3,14.996
900,28.80,1.1897,6.6305,1.0120,-0.2447,-0.5725,1.7620,slope,18.0,3,15.001
910,29.12,1.1342,6.7479,1.0840,-0.2611,-0.5894,1.7909,slope,18.0,3,15.056
920,29.44,1.0692,6.9466,1.2180,-0.2641,-0.6175,1.8099,slope,18.0,3,15.170
930,29.76,1.0174,7.0999,1.3235,-0.3173,-0.5894,1.8820,slope,18.0,3,15.257
940,30.08,0.9778,7.1251,1.3330,-0.4218,-0.4982,2.0715,rough,14.0,3,15.253
950,30.40,0.8733,7.1730,1.3436,-0.4409,-0.4657,2.1132,rough,14.0,3,15.226
960,30.72,0.7594,7.2908,1.4063,-0.3941,-0.4660,2.0406,rough,14.0,3,15.251
970,31.04,0.6382,7.4401,1.4753,-0.4518,-0.3851,2.1457,rough,14.0,3,15.299
980,31.36,0.3886,7.7005,1.5756,-0.4896,-0.2869,2.2261,slope,18.0,3,15.365
990,31.68,0.0877,8.0734,1.6492,-0.4172,-0.1478,2.2293,slope,18.0,3,15.505
1000,32.00,-0.1841,8.3913,1.6926,-0.3901,-0.0945,2.3056,slope,18.0,3,15.627
1010,32.32,-0.4385,8.6471,1.7067,-0.3282,-0.0422,2.4111,rough,14.0,3,15.714
1020,32.64,-0.6462,8.7963,1.7112,-0.3294,-0.0251,2.5270,rough,14.0,3,15.739
1030,32.96,-0.8387,8.9040,1.7014,-0.3151,0.0247,2.6508,rough,14.0,3,15.739
1040,33.28,-1.0311,8.9584,1.6845,-0.3108,0.0912,2.8214,slope,18.0,3,15.695
1050,33.60,-1.2833,9.0149,1.6478,-0.2748,0.1329,2.9187,slope,18.0,3,15.628
1060,33.92,-1.5278,9.0571,1.6107,-0.2480,0.1382,2.9881,slope,18.0,3,15.556
1070,34.24,-1.7649,9.0739,1.5592,-0.1483,0.2280,3.1182,slope,18.0,3,15.468
1080,34.56,-1.9867,9.0596,1.5046,-0.0920,0.1932,-3.0503,slope,18.0,3,15.360
1090,34.88,-2.2074,8.9970,1.4574,-0.0342,0.2359,-2.8567,slope,18.0,3,15.212
1100,35.20,-2.4268,8.8989,1.4009,-0.0156,0.2038,-2.7293,slope,18.0,3,15.034
1110,35.52,-2.6803,8.7875,1.3410,0.0063,0.2201,-2.6552,slope,18.0,3,14.832
1120,35.84,-2.9316,8.6290,1.2712,0.0139,0.2416,-2.5634,slope,18.0,3,14.589
1130,36.16,-3.2165,8.4372,1.1782,0.0130,0.3013,-2.5072,slope,18.0,3,14.306
1140,36.48,-3.5171,8.2124,1.0584,0.0259,0.3157,-2.4568,slope,18.0,3,13.989
1150,36.80,-3.8384,7.9403,0.9247,0.0285,0.3011,-2.4174,slope,18.0,3,13.623
1160,37.12,-4.1977,7.6230,0.7993,0.0632,0.2310,-2.4007,slope,18.0,3,13.205
1170,37.44,-4.5863,7.2650,0.6789,0.0669,0.2383,-2.3569,slope,18.0,3,12.744
1180,37.76,-4.8994,6.8862,0.5708,0.1055,0.2328,-2.1396,slope,18.0,3,12.290
1190,38.08,-5.1346,6.4646,0.4403,0.2024,0.2410,-1.7841,slope,18.0,3,11.819
