step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,-0.1596,1.4500,0.1733,-0.0000,-0.0140,0.0000,flat,18.0,0,4.140
20,0.64,0.0828,1.4507,0.1793,-0.0000,0.0029,0.0799,flat,18.0,0,4.206
30,0.96,0.4023,1.4964,0.1798,-0.0013,-0.0002,0.4966,flat,18.0,0,4.270
40,1.28,0.7449,1.7419,0.1799,0.0000,-0.0001,0.8346,flat,18.0,0,4.189
50,1.60,1.0119,2.1114,0.1799,-0.0000,-0.0000,1.1655,flat,18.0,0,4.004
60,1.92,1.1687,2.5642,0.1799,0.0001,-0.0001,1.5413,flat,18.0,0,3.730
70,2.24,1.1508,3.0463,0.1799,0.0002,-0.0001,1.8858,flat,18.0,0,3.357
80,2.56,0.9643,3.5136,0.1793,0.0025,0.0001,2.0856,flat,18.0,0,2.897
90,2.88,0.6887,3.9549,0.1798,0.0001,0.0001,2.2154,transition,15.0,0,2.401
100,3.20,0.4314,4.2616,0.1799,0.0000,-0.0001,2.3490,transition,15.0,0,2.009
110,3.52,0.1494,4.5195,0.1799,0.0001,0.0000,2.4507,rough,14.0,0,1.630
120,3.84,-0.1401,4.7404,0.1847,-0.0371,0.0160,2.5220,rough,14.0,0,1.266
130,4.16,-0.4019,4.9024,0.1960,-0.0699,-0.0161,2.6656,rough,14.0,1,2.544
140,4.48,-0.7116,5.0586,0.2072,-0.0837,-0.0606,2.6158,slope,18.0,1,2.332
150,4.80,-1.0761,5.2323,0.2655,-0.2065,-0.1885,2.5575,slope,18.0,1,2.138
160,5.12,-1.3700,5.4263,0.3309,-0.1407,-0.2659,2.2576,slope,18.0,1,1.975
170,5.44,-1.5759,5.6755,0.4144,-0.1064,-0.2959,2.0450,slope,18.0,1,1.784
180,5.76,-1.7343,5.9590,0.4919,-0.1680,-0.3208,1.9303,slope,18.0,1,1.582
190,6.08,-1.8395,6.2282,0.5902,-0.1306,-0.3429,1.8357,slope,18.0,1,1.406
200,6.40,-1.9174,6.4614,0.6689,-0.1492,-0.3976,1.7494,slope,18.0,1,1.277
210,6.72,-1.9607,6.6897,0.7642,-0.1364,-0.4088,1.6899,slope,18.0,1,1.161
220,7.04,-2.0069,6.9963,0.9064,-0.1240,-0.4560,1.6733,slope,18.0,1,1.056
230,7.36,-2.0587,7.2532,1.0265,-0.1232,-0.4303,1.6710,slope,18.0,1,1.046
240,7.68,-2.0850,7.4966,1.1324,-0.0968,-0.3884,1.6101,slope,18.0,1,1.073
250,8.00,-2.0955,7.8081,1.2566,-0.0861,-0.3220,1.5808,slope,18.0,1,1.162
260,8.32,-2.1095,8.2536,1.3735,-0.1040,-0.2215,1.4940,slope,18.0,1,1.403
270,8.64,-2.0900,8.6217,1.4349,-0.1336,-0.1568,1.2777,slope,18.0,1,1.647
280,8.96,-2.0044,8.8734,1.4821,-0.1070,-0.2032,1.1170,slope,18.0,1,1.797
290,9.28,-1.9212,9.0697,1.5206,-0.0933,-0.2565,0.9363,slope,18.0,1,1.924
300,9.60,-1.8288,9.2168,1.5658,-0.0527,-0.2684,0.7554,slope,18.0,1,2.016
310,9.92,-1.7282,9.3178,1.6054,-0.0088,-0.3011,0.5873,slope,18.0,1,2.073
320,10.24,-1.6041,9.3563,1.6463,0.0444,-0.3216,0.3938,slope,18.0,1,2.071
330,10.56,-1.4669,9.3671,1.6837,0.1129,-0.2904,0.1985,slope,18.0,1,2.047
340,10.88,-1.3191,9.3510,1.7099,0.1935,-0.2082,0.0104,slope,18.0,1,2.004
350,11.20,-1.1883,9.3158,1.7379,0.2368,-0.2045,-0.1580,slope,18.0,1,1.953
360,11.52,-1.0599,9.2850,1.7604,0.2598,-0.1873,-0.1897,slope,18.0,1,1.915
370,11.84,-0.9201,9.2471,1.7826,0.2815,-0.1428,-0.2174,slope,18.0,1,1.880
380,12.16,-0.7673,9.2022,1.8012,0.3127,-0.1137,-0.2510,slope,18.0,1,1.850
390,12.48,-0.6053,9.1501,1.8157,0.3064,-0.0912,-0.2993,slope,18.0,1,1.828
400,12.80,-0.4156,9.0569,1.8267,0.3263,-0.0605,-0.4214,slope,18.0,1,1.792
410,13.12,-0.2139,8.9393,1.8317,0.3270,-0.0287,-0.5198,slope,18.0,1,1.764
420,13.44,-0.0060,8.8007,1.8341,0.3174,-0.0252,-0.5756,slope,18.0,1,1.753
430,13.76,0.2022,8.6445,1.8445,0.3227,-0.0717,-0.6516,rough,14.0,1,1.765
440,14.08,0.3985,8.4760,1.8547,0.3128,-0.0539,-0.7034,rough,14.0,1,1.798
450,14.40,0.6048,8.2598,1.8583,0.4163,0.0452,-0.7107,rough,14.0,1,1.852
460,14.72,0.8483,8.0298,1.8333,0.4337,0.0740,-0.7167,rough,14.0,1,1.981
470,15.04,1.1285,7.7427,1.7824,0.5595,0.2134,-0.6590,rough,14.0,1,2.180
480,15.36,1.4718,7.4221,1.6397,0.5696,0.2403,-0.6453,slope,18.0,1,2.492
490,15.68,1.7589,7.1383,1.5155,0.6186,0.2775,-0.6897,slope,18.0,1,2.788
500,16.00,1.9308,6.8901,1.3840,0.5411,0.4250,-1.0085,slope,18.0,1,2.989
510,16.32,1.9595,6.6399,1.2118,0.5039,0.4623,-1.1106,rough,14.0,1,3.067
520,16.64,2.0095,6.3878,1.0458,0.4286,0.5375,-1.2655,rough,14.0,1,3.184
530,16.96,2.0734,6.1313,0.8947,0.3431,0.5500,-1.3397,rough,14.0,1,3.332
