step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,-0.0107,-0.0578,0.2045,0.0000,-0.0141,-0.0000,slope,18.0,0,5.407
20,0.64,0.2496,-0.0574,0.2252,-0.0012,-0.0817,-0.0034,slope,18.0,0,5.205
30,0.96,0.6088,-0.0669,0.2615,0.0118,-0.1159,-0.1063,slope,18.0,0,4.929
40,1.28,0.9743,-0.1405,0.3310,0.0510,-0.2169,-0.2865,slope,18.0,0,4.615
50,1.60,1.3572,-0.3020,0.4383,0.1072,-0.2911,-0.4814,slope,18.0,0,4.233
60,1.92,1.7132,-0.5452,0.5790,0.1634,-0.3574,-0.6923,slope,18.0,0,3.814
70,2.24,2.0394,-0.8758,0.7359,0.2469,-0.3444,-0.8342,slope,18.0,0,3.350
80,2.56,2.3477,-1.2651,0.9077,0.2900,-0.3346,-0.9258,slope,18.0,0,2.854
90,2.88,2.6587,-1.6926,1.0764,0.2636,-0.3074,-0.9289,slope,18.0,0,2.328
100,3.20,2.9691,-2.1124,1.2375,0.2783,-0.2780,-0.8897,slope,18.0,0,1.810
110,3.52,3.2449,-2.4520,1.3696,0.2665,-0.2758,-0.8430,slope,18.0,0,1.375
120,3.84,3.4914,-2.7246,1.4719,0.2530,-0.2748,-0.7880,slope,18.0,0,1.009
130,4.16,3.7488,-3.0249,1.5712,0.3006,-0.2009,-0.9882,slope,18.0,1,6.949
140,4.48,3.9057,-3.3767,1.6257,0.3426,-0.0770,-1.3203,slope,18.0,1,6.789
150,4.80,3.8587,-3.7854,1.6018,0.3427,0.0909,-1.7620,rough,14.0,1,6.462
160,5.12,3.6883,-4.1999,1.5285,0.3075,0.1801,-2.0093,slope,18.0,1,6.051
170,5.44,3.4178,-4.6346,1.4090,0.2414,0.2398,-2.1949,slope,18.0,1,5.557
180,5.76,3.0747,-5.0219,1.2726,0.2310,0.2778,-2.3277,slope,18.0,1,5.043
190,6.08,2.6962,-5.3876,1.1159,0.2096,0.2987,-2.4084,slope,18.0,1,4.518
200,6.40,2.2898,-5.7293,0.9498,0.1896,0.3086,-2.4651,slope,18.0,1,3.987
210,6.72,1.8639,-6.0600,0.7768,0.1810,0.3118,-2.4914,slope,18.0,1,3.449
220,7.04,1.4529,-6.3721,0.6121,0.1851,0.3080,-2.4854,slope,18.0,1,2.934
230,7.36,1.0705,-6.6741,0.4605,0.1933,0.2973,-2.4586,slope,18.0,1,2.449
240,7.68,0.7055,-6.9826,0.3181,0.2024,0.2866,-2.4340,slope,18.0,1,1.972
250,8.00,0.3870,-7.2567,0.1970,0.1878,0.2581,-2.4354,rough,14.0,1,1.552
260,8.32,0.1380,-7.4866,0.1302,0.1029,0.2360,-2.4300,slope,18.0,1,1.214
270,8.64,-0.1695,-7.7535,0.0700,0.0767,0.0827,-2.4420,slope,18.0,2,4.924
280,8.96,-0.5240,-8.0645,0.0435,-0.0370,-0.0024,-2.4799,flat,18.0,2,4.964
290,9.28,-0.8631,-8.3113,0.0523,-0.0127,-0.0247,-2.5600,flat,18.0,2,4.998
300,9.60,-1.1816,-8.5144,0.0612,-0.0070,-0.0250,-2.6700,flat,18.0,2,5.036
310,9.92,-1.4895,-8.6542,0.0707,-0.0044,-0.0307,-2.7557,flat,18.0,2,5.046
320,10.24,-1.7710,-8.7651,0.0803,-0.0000,-0.0330,-2.9046,flat,18.0,2,5.059
330,10.56,-2.0461,-8.8329,0.0899,0.0055,-0.0346,-3.0680,flat,18.0,2,5.049
340,10.88,-2.3119,-8.8561,0.0994,0.0113,-0.0339,3.0307,flat,18.0,2,5.014
350,11.20,-2.5734,-8.8291,0.1087,0.0159,-0.0345,2.8780,flat,18.0,2,4.943
360,11.52,-2.8366,-8.7575,0.1185,0.0197,-0.0344,2.7492,flat,18.0,2,4.841
370,11.84,-3.1068,-8.6405,0.1289,0.0224,-0.0348,2.6446,flat,18.0,2,4.707
380,12.16,-3.3915,-8.4781,0.1405,0.0248,-0.0352,2.5619,flat,18.0,2,4.542
390,12.48,-3.6965,-8.2689,0.1536,0.0262,-0.0352,2.4981,flat,18.0,2,4.352
400,12.80,-4.0324,-8.0079,0.1685,0.0275,-0.0349,2.4584,flat,18.0,2,4.140
410,13.12,-4.4075,-7.6935,0.1852,0.0284,-0.0331,2.4349,flat,18.0,2,3.922
420,13.44,-4.8203,-7.3394,0.2007,0.0300,-0.0376,2.4160,flat,18.0,2,3.734
430,13.76,-5.1528,-6.9931,0.2137,0.0347,-0.0172,2.2111,flat,18.0,2,3.584
440,14.08,-5.3933,-6.6099,0.2189,0.0353,-0.0030,1.9993,rough,14.0,2,3.407
450,14.40,-5.5180,-6.2476,0.2161,0.0319,-0.0047,1.8251,flat,18.0,2,3.216
460,14.72,-5.6082,-5.8022,0.2127,0.0242,0.0154,1.7153,flat,18.0,2,2.982
470,15.04,-5.6483,-5.3124,0.2028,0.0125,0.0190,1.5353,flat,18.0,2,2.738
480,15.36,-5.5981,-4.8550,0.1880,-0.0018,0.0559,1.1692,flat,18.0,2,2.492
490,15.68,-5.3889,-4.4457,0.1824,-0.0103,0.0136,0.9002,flat,18.0,2,2.168
500,16.00,-5.0711,-4.0913,0.1764,-0.0131,0.0112,0.7378,flat,18.0,2,1.797
510,16.32,-4.7412,-3.8217,0.1766,-0.0129,-0.0058,0.5959,flat,18.0,2,1.465
520,16.64,-4.4309,-3.6149,0.1788,-0.0080,-0.0114,0.4177,flat,18.0,2,1.194
530,16.96,-4.1456,-3.4983,0.1821,-0.0035,-0.0142,0.2323,flat,18.0,3,10.057
540,17.28,-3.8274,-3.4290,0.1872,0.0012,-0.0178,0.3187,flat,18.0,3,9.895
