step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,2.1821,0.5010,0.1852,0.0000,-0.0438,0.0000,rough,14.0,0,6.243
20,0.64,2.6624,0.5061,0.1797,0.0001,-0.0006,0.0348,flat,18.0,0,5.777
30,0.96,3.2257,0.5335,0.1797,0.0002,-0.0001,0.1005,flat,18.0,0,5.228
40,1.28,3.7870,0.5967,0.1797,0.0002,-0.0000,0.1552,flat,18.0,0,4.673
50,1.60,4.3453,0.6901,0.1797,0.0002,-0.0000,0.2029,flat,18.0,0,4.114
60,1.92,4.8987,0.8097,0.1797,0.0001,-0.0000,0.2439,flat,18.0,0,3.553
70,2.24,5.4464,0.9515,0.1797,0.0001,-0.0000,0.2808,flat,18.0,0,2.990
80,2.56,5.9885,1.1134,0.1797,0.0001,-0.0000,0.3169,flat,18.0,0,2.427
90,2.88,6.5236,1.2950,0.1797,0.0001,0.0000,0.3543,flat,18.0,0,1.863
100,3.20,7.0496,1.4965,0.1797,0.0001,0.0000,0.3965,flat,18.0,0,1.300
110,3.52,7.5603,1.7174,0.1797,0.0001,0.0003,0.4706,flat,18.0,1,5.048
120,3.84,7.9056,1.9389,0.1799,-0.0002,0.0000,0.7992,flat,18.0,1,5.096
130,4.16,8.1429,2.2431,0.1799,-0.0001,-0.0000,1.0975,rough,14.0,1,5.040
140,4.48,8.2985,2.5916,0.1799,-0.0001,-0.0000,1.3276,flat,18.0,1,4.923
150,4.80,8.3912,3.0682,0.1800,-0.0002,-0.0000,1.6356,flat,18.0,1,4.708
160,5.12,8.3328,3.5772,0.1799,-0.0000,-0.0000,1.8854,flat,18.0,1,4.387
170,5.44,8.1446,4.0661,0.1799,0.0001,-0.0000,2.0756,flat,18.0,1,3.995
180,5.76,7.8629,4.5175,0.1799,0.0001,-0.0000,2.2240,flat,18.0,1,3.562
190,6.08,7.5141,4.9303,0.1798,0.0003,-0.0000,2.3403,flat,18.0,1,3.103
200,6.40,7.1178,5.2992,0.1799,0.0003,-0.0000,2.4605,flat,18.0,1,2.636
210,6.72,6.6782,5.6221,0.1799,0.0002,-0.0000,2.5923,flat,18.0,1,2.161
220,7.04,6.2000,5.8867,0.1799,0.0001,-0.0000,2.7455,flat,18.0,1,1.685
230,7.36,5.6918,6.0755,0.1799,0.0000,0.0000,2.9431,flat,18.0,1,1.216
240,7.68,5.1751,6.1576,0.1799,0.0000,0.0000,-3.0298,flat,18.0,2,0.772
250,8.00,4.6193,6.0966,0.1798,-0.0000,-0.0000,-2.9978,flat,18.0,2,12.425
260,8.32,4.0575,6.0108,0.1797,0.0001,-0.0000,-2.9647,flat,18.0,2,11.865
270,8.64,3.4980,5.9070,0.1797,0.0001,-0.0000,-2.9378,flat,18.0,2,11.303
280,8.96,2.9405,5.7884,0.1797,0.0001,-0.0000,-2.9150,flat,18.0,2,10.738
290,9.28,2.3850,5.6574,0.1797,0.0001,-0.0000,-2.8956,flat,18.0,2,10.171
300,9.60,1.8315,5.5158,0.1797,0.0001,-0.0000,-2.8787,flat,18.0,2,9.602
310,9.92,1.2798,5.3651,0.1797,0.0001,-0.0000,-2.8641,flat,18.0,2,9.033
320,10.24,0.7299,5.2063,0.1797,0.0000,-0.0000,-2.8512,flat,18.0,2,8.462
330,10.56,0.1816,5.0406,0.1797,0.0000,-0.0000,-2.8399,flat,18.0,2,7.891
340,10.88,-0.3651,4.8687,0.1797,0.0000,-0.0000,-2.8297,flat,18.0,2,7.320
350,11.20,-0.9103,4.6914,0.1797,0.0000,-0.0000,-2.8206,flat,18.0,2,6.747
360,11.52,-1.4542,4.5091,0.1797,0.0000,-0.0000,-2.8123,flat,18.0,2,6.175
370,11.84,-1.9967,4.3223,0.1797,0.0000,-0.0000,-2.8046,flat,18.0,2,5.602
380,12.16,-2.5379,4.1314,0.1797,0.0000,-0.0000,-2.7975,flat,18.0,2,5.029
390,12.48,-3.0780,3.9367,0.1797,0.0000,-0.0000,-2.7909,flat,18.0,2,4.456
400,12.80,-3.6167,3.7384,0.1797,0.0000,-0.0000,-2.7845,flat,18.0,2,3.883
410,13.12,-4.1543,3.5367,0.1797,0.0000,-0.0000,-2.7782,flat,18.0,2,3.310
420,13.44,-4.6905,3.3316,0.1797,0.0000,0.0000,-2.7719,flat,18.0,2,2.737
430,13.76,-5.2253,3.1231,0.1797,0.0000,0.0000,-2.7651,flat,18.0,2,2.165
440,14.08,-5.7583,2.9110,0.1797,0.0000,0.0000,-2.7575,flat,18.0,2,1.593
450,14.40,-6.2890,2.6949,0.1797,0.0000,0.0000,-2.7476,flat,18.0,2,1.024
460,14.72,-6.7633,2.4928,0.1798,-0.0003,0.0000,-2.6037,flat,18.0,3,10.696
470,15.04,-7.1300,2.2217,0.1799,0.0000,-0.0000,-2.3445,flat,18.0,3,10.527
480,15.36,-7.4428,1.8360,0.1799,0.0000,-0.0000,-2.1164,flat,18.0,3,10.250
490,15.68,-7.6884,1.3684,0.1799,0.0000,-0.0000,-1.9084,flat,18.0,3,9.890
500,16.00,-7.8470,0.8465,0.1799,0.0001,-0.0000,-1.7284,flat,18.0,3,9.462
510,16.32,-7.9168,0.2979,0.1799,0.0001,-0.0000,-1.5817,flat,18.0,3,8.986
520,16.64,-7.9095,-0.2592,0.1798,0.0004,-0.0000,-1.4698,flat,18.0,3,8.478
530,16.96,-7.8429,-0.8147,0.1798,0.0004,-0.0000,-1.3860,flat,18.0,3,7.950
540,17.28,-7.7312,-1.3650,0.1797,0.0003,-0.0000,-1.3200,flat,18.0,3,7.411
550,17.60,-7.5842,-1.9089,0.1797,0.0002,-0.0000,-1.2663,flat,18.0,3,6.863
560,17.92,-7.4085,-2.4456,0.1797,0.0002,-0.0000,-1.2217,flat,18.0,3,6.309
570,18.24,-7.2094,-2.9744,0.1797,0.0001,-0.0000,-1.1851,flat,18.0,3,5.753
580,18.56,-6.9911,-3.4966,0.1797,0.0001,-0.0000,-1.1525,flat,18.0,3,5.194
590,18.88,-6.7559,-4.0123,0.1797,0.0001,-0.0000,-1.1227,flat,18.0,3,4.632
600,19.20,-6.5053,-4.5212,0.1797,0.0001,-0.0000,-1.0950,flat,18.0,3,4.070
610,19.52,-6.2407,-5.0233,0.1797,0.0001,-0.0000,-1.0684,flat,18.0,3,3.506
