step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,-0.1704,1.4447,0.2232,0.0431,-0.0881,-0.0218,slope,18.0,0,4.143
20,0.64,0.1050,1.4413,0.2472,0.0243,-0.0719,-0.0223,slope,18.0,0,4.222
30,0.96,0.4659,1.4277,0.3025,0.0446,-0.2016,0.0309,slope,18.0,0,4.358
40,1.28,0.8025,1.4601,0.3722,0.0222,-0.2580,0.3183,slope,18.0,0,4.466
50,1.60,1.2052,1.6345,0.4945,-0.0373,-0.3047,0.4560,slope,18.0,0,4.510
60,1.92,1.5806,1.8640,0.6348,-0.1024,-0.3350,0.5925,slope,18.0,0,4.535
70,2.24,1.9034,2.1512,0.7820,-0.1846,-0.3287,0.7580,slope,18.0,0,4.525
80,2.56,2.1678,2.5069,0.9024,-0.2601,-0.2476,0.9917,slope,18.0,0,4.466
90,2.88,2.3425,2.9454,0.9935,-0.3432,-0.1474,1.2468,slope,18.0,0,4.329
100,3.20,2.4019,3.4402,1.0236,-0.3612,-0.0116,1.5228,slope,18.0,0,4.113
110,3.52,2.3326,3.8829,0.9926,-0.3547,0.0921,1.7618,rough,14.0,0,3.851
120,3.84,2.1683,4.3113,0.9228,-0.3157,0.1687,1.9810,slope,18.0,0,3.540
130,4.16,1.9269,4.7733,0.8171,-0.2914,0.2167,2.0992,slope,18.0,0,3.182
140,4.48,1.6207,5.2039,0.6887,-0.2536,0.2517,2.2274,slope,18.0,0,2.812
150,4.80,1.2751,5.5930,0.5466,-0.2190,0.2770,2.3568,slope,18.0,0,2.458
160,5.12,0.8870,5.9240,0.3924,-0.1777,0.3001,2.5206,slope,18.0,0,2.118
170,5.44,0.4567,6.1789,0.2284,-0.1264,0.3104,2.6771,slope,18.0,0,1.786
180,5.76,0.0388,6.3555,0.1079,-0.0280,0.1776,2.8217,slope,18.0,0,1.511
190,6.08,-0.3697,6.4510,0.0606,0.0150,0.0265,2.9592,slope,18.0,0,1.278
200,6.40,-0.7581,6.5061,0.0598,0.0211,-0.0191,-3.1414,flat,18.0,0,1.125
210,6.72,-1.1011,6.5050,0.0675,0.0100,-0.0283,-2.8167,flat,18.0,0,1.045
220,7.04,-1.4114,6.3792,0.0778,0.0013,-0.0332,-2.5444,flat,18.0,2,7.869
230,7.36,-1.7837,6.0993,0.0935,-0.0040,-0.0369,-2.3567,flat,18.0,2,8.112
240,7.68,-2.1492,5.6970,0.1124,-0.0053,-0.0338,-2.2679,flat,18.0,2,8.331
250,8.00,-2.4854,5.2670,0.1316,-0.0047,-0.0337,-2.1967,flat,18.0,2,8.544
260,8.32,-2.7939,4.8129,0.1491,-0.0038,-0.0297,-2.1406,flat,18.0,2,8.754
270,8.64,-3.0789,4.3507,0.1632,-0.0010,-0.0229,-2.0904,flat,18.0,2,8.969
280,8.96,-3.3402,3.8661,0.1734,0.0033,-0.0244,-2.0264,flat,18.0,2,9.185
290,9.28,-3.5714,3.3632,0.1797,-0.0059,-0.0074,-1.9780,flat,18.0,2,9.399
300,9.60,-3.7848,2.8503,0.1842,0.0214,-0.0086,-1.9300,flat,18.0,2,9.622
310,9.92,-3.9699,2.3400,0.1839,0.0109,0.0020,-1.8943,flat,18.0,2,9.843
320,10.24,-4.1406,1.8124,0.1829,0.0275,0.0008,-1.8487,flat,18.0,2,10.077
330,10.56,-4.2852,1.2674,0.1799,0.0330,0.0079,-1.8174,flat,18.0,2,10.313
340,10.88,-4.4112,0.7380,0.1751,0.0402,0.0111,-1.7949,rough,14.0,2,10.553
350,11.20,-4.4881,0.3720,0.1718,0.0410,0.0092,-1.7721,rough,14.0,2,10.721
360,11.52,-4.5476,0.1136,0.1690,0.0434,-0.0009,-1.5307,rough,14.0,2,10.851
370,11.84,-4.5571,-0.0733,0.1685,0.0359,-0.0242,-0.9755,rough,14.0,2,10.917
380,12.16,-4.3296,-0.3092,0.1784,0.0254,-0.0353,-0.6374,flat,18.0,2,10.777
390,12.48,-3.9687,-0.5255,0.1930,0.0114,-0.0390,-0.2834,flat,18.0,2,10.514
400,12.80,-3.5260,-0.6233,0.2094,-0.0063,-0.0336,0.1740,flat,18.0,2,10.140
410,13.12,-3.0612,-0.5045,0.2222,-0.0064,-0.0216,0.4256,flat,18.0,2,9.666
420,13.44,-2.5941,-0.2703,0.2279,0.0012,-0.0049,0.5365,flat,18.0,2,9.144
430,13.76,-2.1311,0.0200,0.2291,-0.0058,0.0076,0.5985,flat,18.0,2,8.605
440,14.08,-1.6611,0.3384,0.2203,0.0299,-0.0063,0.6042,flat,18.0,2,8.050
450,14.40,-1.1955,0.6575,0.2202,0.0135,0.0071,0.5669,flat,18.0,2,7.501
460,14.72,-0.7225,0.9438,0.2142,0.0296,0.0060,0.5029,flat,18.0,2,6.959
470,15.04,-0.2571,1.1833,0.2235,0.0203,-0.0523,0.4511,slope,18.0,2,6.440
480,15.36,0.2236,1.4170,0.2651,-0.0080,-0.1189,0.4129,slope,18.0,2,5.910
490,15.68,0.7029,1.6185,0.3619,-0.0116,-0.2342,0.3688,slope,18.0,2,5.391
500,16.00,1.1880,1.8049,0.5027,-0.0257,-0.2999,0.3464,slope,18.0,2,4.872
510,16.32,1.6702,1.9778,0.6794,-0.0264,-0.3454,0.3231,slope,18.0,2,4.360
520,16.64,2.1560,2.1443,0.8796,-0.0475,-0.3886,0.3181,slope,18.0,2,3.847
530,16.96,2.6448,2.3093,1.0892,-0.0637,-0.3977,0.3077,slope,18.0,2,3.331
540,17.28,3.1413,2.4744,1.3000,-0.1019,-0.3841,0.3017,slope,18.0,2,2.808
550,17.60,3.6476,2.6313,1.5059,-0.1069,-0.3676,0.3033,slope,18.0,2,2.278
