step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,0.9498,-0.8102,0.1572,0.1890,-0.0015,-0.2713,slope,18.0,0,5.752
20,0.64,1.2405,-0.8925,0.1585,0.1580,0.0455,-0.2932,rough,15.5,0,5.478
30,0.96,1.6165,-1.0368,0.1367,0.1268,0.0393,-0.5504,slope,18.0,0,5.102
40,1.28,2.0590,-1.3347,0.0798,0.0703,0.1637,-0.6672,slope,18.0,0,4.577
50,1.60,2.4792,-1.7074,-0.0656,0.0883,0.3436,-0.7500,slope,18.0,0,4.015
60,1.92,2.8188,-2.1462,-0.2622,0.3965,0.5038,-0.6073,rough,15.5,0,3.467
70,2.24,3.1070,-2.4381,-0.3593,0.3219,0.0409,-0.7521,slope,18.0,0,3.057
80,2.56,3.4084,-2.8173,-0.4074,0.3837,-0.0386,-0.8766,rough,15.5,0,2.579
90,2.88,3.7123,-3.2182,-0.4575,0.3348,0.2181,-0.7947,rough,15.5,0,2.088
100,3.20,3.9988,-3.5555,-0.5265,0.4093,0.0961,-0.7793,rough,15.5,0,1.656
110,3.52,4.2516,-3.8427,-0.5064,0.3941,-0.2182,-0.8422,slope,18.0,0,1.286
120,3.84,4.5125,-4.0966,-0.4399,0.2596,-0.2634,-0.8293,rough,15.5,1,12.121
130,4.16,4.6936,-4.2970,-0.3728,0.1591,-0.3042,-0.5457,rough,15.5,1,12.366
140,4.48,4.8254,-4.4288,-0.3355,0.0627,-0.1296,0.1000,rough,15.5,1,12.531
150,4.80,4.8936,-4.4946,-0.3364,-0.0967,-0.1709,0.9386,rough,15.5,1,12.614
160,5.12,5.0396,-4.3547,-0.3168,-0.0131,-0.1129,1.2325,rough,15.5,1,12.527
170,5.44,5.0885,-4.0273,-0.2627,-0.1196,-0.2128,1.5429,rough,15.5,1,12.234
180,5.76,5.0323,-3.5464,-0.2714,-0.2936,0.0138,1.6270,rough,15.5,1,11.762
190,6.08,4.9606,-3.0979,-0.2931,-0.2593,0.0556,1.7663,rough,15.5,1,11.316
200,6.40,4.8789,-2.6937,-0.2804,-0.1346,-0.1686,1.8961,rough,15.5,1,10.909
210,6.72,4.7806,-2.2384,-0.2447,0.1021,-0.1446,1.9551,rough,15.5,1,10.449
220,7.04,4.5822,-1.7799,-0.2082,0.1074,-0.0141,2.0198,rough,15.5,1,9.950
230,7.36,4.3636,-1.2992,-0.2324,0.0996,0.1743,1.9713,rough,15.5,1,9.423
240,7.68,4.2170,-0.8604,-0.2642,0.2805,0.0139,1.9663,rough,15.5,1,8.960
250,8.00,4.0761,-0.4491,-0.2080,0.2620,-0.1845,1.9025,rough,15.5,1,8.526
260,8.32,3.9106,0.0079,-0.1024,0.2029,-0.1906,1.8771,slope,18.0,1,8.040
270,8.64,3.7478,0.5414,-0.0632,0.1546,-0.0098,1.8813,rough,15.5,1,7.484
280,8.96,3.5754,1.0151,-0.1023,0.0861,0.0783,1.9324,slope,18.0,1,6.980
290,9.28,3.4431,1.5082,-0.1209,0.2500,0.0067,1.8709,rough,15.5,1,6.473
300,9.60,3.3311,1.9528,-0.1485,0.3750,-0.0262,1.9992,rough,15.5,1,6.019
310,9.92,3.1250,2.3804,-0.1566,0.3477,0.1243,2.1654,rough,15.5,1,5.545
