step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,0.8117,-0.7260,0.3261,-0.0674,-0.2680,-0.2195,slope,18.0,0,5.911
20,0.64,1.0275,-0.8019,0.3758,0.0151,-0.2490,-0.3498,slope,18.0,0,5.698
30,0.96,1.3839,-0.9756,0.4932,0.0625,-0.3310,-0.4997,slope,18.0,0,5.315
40,1.28,1.7330,-1.2237,0.6456,0.1342,-0.3679,-0.6694,slope,18.0,0,4.890
50,1.60,2.0669,-1.5468,0.8107,0.2099,-0.3548,-0.7920,slope,18.0,0,4.426
60,1.92,2.3954,-1.9260,0.9867,0.2505,-0.3339,-0.8644,slope,18.0,0,3.928
70,2.24,2.7372,-2.3468,1.1572,0.2639,-0.2940,-0.8787,slope,18.0,0,3.395
80,2.56,3.0889,-2.7701,1.3156,0.2685,-0.2690,-0.8560,slope,18.0,0,2.855
90,2.88,3.4455,-3.1789,1.4557,0.2643,-0.2532,-0.8176,slope,18.0,0,2.325
100,3.20,3.8194,-3.5706,1.5912,0.2615,-0.2499,-0.7765,slope,18.0,0,1.797
110,3.52,4.1700,-3.9111,1.7135,0.2511,-0.2485,-0.7483,slope,18.0,0,1.323
120,3.84,4.4795,-4.1983,1.8211,0.2459,-0.2554,-0.7182,slope,18.0,1,12.209
130,4.16,4.6916,-4.3851,1.8953,0.1646,-0.3201,-0.4277,slope,18.0,1,12.449
140,4.48,4.8715,-4.4802,1.9600,-0.0839,-0.3470,0.2995,slope,18.0,1,12.594
150,4.80,5.1467,-4.3100,2.0647,-0.1717,-0.3131,0.5581,slope,18.0,1,12.520
160,5.12,5.5329,-4.0256,2.2093,-0.2040,-0.2852,0.6517,slope,18.0,1,12.387
170,5.44,5.9026,-3.7033,2.3414,-0.2356,-0.2576,0.7481,slope,18.0,1,12.230
180,5.76,6.2591,-3.3436,2.4694,-0.2573,-0.2232,0.8530,slope,18.0,1,12.052
190,6.08,6.5771,-2.9455,2.5768,-0.2786,-0.1920,0.9564,slope,18.0,1,11.841
200,6.40,6.8477,-2.5178,2.6630,-0.2843,-0.1549,1.0595,rough,15.5,1,11.599
210,6.72,7.0382,-2.1116,2.7231,-0.2989,-0.1225,1.1595,rough,15.5,1,11.349
220,7.04,7.2013,-1.6804,2.7720,-0.3035,-0.0997,1.2300,rough,15.5,1,11.076
230,7.36,7.3366,-1.2354,2.8122,-0.3054,-0.0829,1.2927,rough,15.5,1,10.789
240,7.68,7.4327,-0.7918,2.8406,-0.3092,-0.0534,1.3932,rough,15.5,1,10.491
250,8.00,7.4509,-0.3540,2.8457,-0.3132,0.0034,1.5794,rough,15.5,1,10.159
260,8.32,7.3814,0.1025,2.8242,-0.3103,0.0480,1.7290,rough,15.5,1,9.765
270,8.64,7.2838,0.5740,2.7954,-0.3096,0.0637,1.7871,rough,15.5,1,9.346
280,8.96,7.1487,1.0596,2.7554,-0.3069,0.0898,1.8725,slope,18.0,1,8.898
290,9.28,6.9715,1.5794,2.7020,-0.3099,0.1023,1.8995,slope,18.0,1,8.403
300,9.60,6.7954,2.0674,2.6469,-0.3116,0.1010,1.9355,slope,18.0,1,7.937
310,9.92,6.5964,2.5466,2.5841,-0.3114,0.1342,1.9814,slope,18.0,1,7.466
320,10.24,6.3642,3.0232,2.5042,-0.2943,0.1669,2.0666,slope,18.0,1,6.979
330,10.56,6.0738,3.4624,2.4017,-0.2834,0.2039,2.1965,slope,18.0,1,6.476
340,10.88,5.7415,3.9115,2.2772,-0.2761,0.2300,2.2166,slope,18.0,1,5.937
350,11.20,5.4532,4.0690,2.1648,-0.3337,0.1285,1.8299,slope,18.0,1,5.613
360,11.52,5.2775,4.5379,2.0942,-0.3380,0.1117,1.9078,slope,18.0,1,5.193
370,11.84,5.0710,5.0522,2.0118,-0.3348,0.1671,1.9815,slope,18.0,1,4.739
380,12.16,4.8306,5.5509,1.9101,-0.3279,0.1865,2.0284,slope,18.0,1,4.286
390,12.48,4.5716,6.0333,1.7992,-0.3170,0.2063,2.0884,slope,18.0,1,3.847
400,12.80,4.2925,6.4955,1.6829,-0.3113,0.2254,2.1481,slope,18.0,1,3.427
410,13.12,3.9834,6.9331,1.5548,-0.2962,0.2418,2.2257,slope,18.0,1,3.020
420,13.44,3.6369,7.3368,1.4155,-0.2729,0.2672,2.3195,slope,18.0,1,2.624
430,13.76,3.2675,7.7106,1.2695,-0.2534,0.2794,2.3966,slope,18.0,1,2.258
440,14.08,2.9146,8.0321,1.1338,-0.2467,0.2818,2.4324,slope,18.0,1,1.966
450,14.40,2.5890,8.2917,1.0104,-0.2416,0.2927,2.4929,slope,18.0,1,1.754
460,14.72,2.2981,8.5083,0.9039,-0.2062,0.3043,2.5893,slope,18.0,1,1.623
470,15.04,2.0166,8.6646,0.8010,-0.1808,0.3154,2.6760,slope,18.0,1,1.526
480,15.36,1.7599,8.7915,0.7081,-0.1412,0.3310,2.8039,slope,18.0,1,1.481
490,15.68,1.5156,8.8795,0.6198,-0.0946,0.3450,2.9517,slope,18.0,1,1.457
500,16.00,1.2627,8.9216,0.5276,-0.0706,0.3481,3.0242,slope,18.0,1,1.433
510,16.32,1.0049,8.9466,0.4338,-0.0651,0.3455,3.0428,slope,18.0,1,1.437
520,16.64,0.7501,8.9673,0.3418,-0.0595,0.3451,3.0602,slope,18.0,1,1.482
530,16.96,0.4980,8.9840,0.2512,-0.0547,0.3426,3.0748,slope,18.0,1,1.563
540,17.28,0.2587,8.9941,0.1737,-0.0383,0.2949,3.1193,slope,18.0,1,1.668
550,17.60,0.0293,8.9919,0.1161,-0.0295,0.1704,-3.1191,slope,18.0,1,1.782
560,17.92,-0.2117,8.9707,0.0766,-0.0120,0.1427,-3.0357,slope,18.0,1,1.910
570,18.24,-0.4445,8.9410,0.0648,-0.0285,-0.0204,-3.0048,flat,18.0,1,2.047
580,18.56,-0.6759,8.8894,0.0684,-0.0347,-0.0081,-2.8752,rough,15.5,1,2.185
590,18.88,-0.9134,8.8125,0.0714,-0.0311,-0.0103,-2.7653,flat,18.0,1,2.330
600,19.20,-1.1718,8.7016,0.0742,-0.0302,-0.0100,-2.6781,flat,18.0,1,2.494
610,19.52,-1.4441,8.5556,0.0780,-0.0297,-0.0152,-2.6281,flat,18.0,1,2.676
620,19.84,-1.7442,8.3791,0.0835,-0.0289,-0.0175,-2.5621,flat,18.0,1,2.897
630,20.16,-2.0689,8.1630,0.0913,-0.0272,-0.0213,-2.5148,flat,18.0,1,3.156
640,20.48,-2.4247,7.8964,0.1023,-0.0287,-0.0284,-2.4862,flat,18.0,1,3.465
650,20.80,-2.8318,7.5807,0.1156,-0.0229,-0.0254,-2.4706,flat,18.0,1,3.851
660,21.12,-3.2214,7.2704,0.1331,-0.0250,-0.0332,-2.4680,flat,18.0,1,4.247
670,21.44,-3.4658,7.0502,0.1439,-0.0315,-0.0280,-2.2458,flat,18.0,1,4.508
680,21.76,-3.5724,6.8638,0.1491,-0.0406,-0.0094,-1.7616,rough,15.5,1,4.636
690,22.08,-3.5993,6.6317,0.1510,-0.0415,0.0011,-1.4336,rough,15.5,1,4.701
700,22.40,-3.5372,6.3252,0.1499,-0.0355,0.0183,-0.9584,rough,15.5,1,4.708
710,22.72,-3.2739,6.0547,0.1420,-0.0290,0.0242,-0.6147,flat,18.0,1,4.533
720,23.04,-2.8845,5.8204,0.1319,-0.0239,0.0312,-0.1895,flat,18.0,1,4.253
730,23.36,-2.4308,5.7646,0.1180,-0.0176,0.0307,0.2628,flat,18.0,1,3.866
740,23.68,-1.9599,5.9231,0.1024,-0.0070,0.0354,0.4652,flat,18.0,1,3.375
750,24.00,-1.4832,6.1763,0.0840,-0.0052,0.0334,0.5603,flat,18.0,1,2.835
760,24.32,-1.0410,6.4739,0.0669,-0.0021,0.0302,0.6244,transition,16.0,1,2.306
770,24.64,-0.6221,6.7618,0.0531,-0.0025,0.0243,0.5751,slope,18.0,1,1.803
780,24.96,-0.2260,7.0310,0.0659,-0.0767,-0.0490,0.5456,rough,15.5,1,1.334
790,25.28,0.0978,7.2437,0.1129,-0.1386,-0.1488,0.5283,slope,18.0,2,14.550
800,25.60,0.3085,7.3887,0.1662,-0.1238,-0.2656,0.3763,slope,18.0,2,14.787
810,25.92,0.3296,7.4351,0.1678,-0.0366,-0.3273,0.1184,slope,18.0,2,14.837
820,26.24,0.2327,7.4381,0.1431,0.0305,-0.2872,-0.1706,slope,18.0,2,14.786
830,26.56,0.3227,7.3552,0.1706,0.1142,-0.3050,-0.4732,slope,18.0,2,14.767
840,26.88,0.5772,7.1321,0.2555,0.2461,-0.2463,-0.8316,slope,18.0,2,14.727
850,27.20,0.7516,6.8101,0.3226,0.3172,-0.1527,-1.1831,slope,18.0,2,14.568
860,27.52,0.8264,6.4406,0.3562,0.3448,-0.0428,-1.5143,slope,18.0,2,14.317
870,27.84,0.7202,6.0310,0.3266,0.3292,0.0689,-1.8686,slope,18.0,2,13.929
880,28.16,0.5292,5.6181,0.2754,0.3208,0.1300,-2.0520,slope,18.0,2,13.487
890,28.48,0.2835,5.2572,0.2160,0.2494,0.1485,-2.2801,slope,18.0,2,13.051
900,28.80,-0.0678,4.9958,0.1412,0.1063,0.1370,-2.6891,slope,18.0,2,12.628
910,29.12,-0.4473,4.9015,0.1139,0.0663,-0.0070,3.0398,rough,15.5,2,12.321
920,29.44,-0.7432,4.9518,0.1125,0.0425,0.0185,2.5511,rough,15.5,2,12.185
930,29.76,-1.0378,5.1448,0.1078,0.0433,0.0070,2.6249,rough,15.5,2,12.174
940,30.08,-1.3725,5.3313,0.1062,0.0415,-0.0059,2.7754,rough,15.5,2,12.145
950,30.40,-1.7191,5.4551,0.1088,0.0291,-0.0252,-3.0372,flat,18.0,2,12.069
960,30.72,-2.1316,5.3710,0.1208,0.0130,-0.0349,-2.6378,flat,18.0,2,11.790
970,31.04,-2.5123,5.1185,0.1352,-0.0015,-0.0330,-2.3872,flat,18.0,2,11.385
980,31.36,-2.8183,4.7707,0.1501,-0.0002,-0.0291,-2.1631,flat,18.0,2,10.935
990,31.68,-3.0699,4.3434,0.1630,-0.0058,-0.0240,-1.9896,flat,18.0,2,10.439
1000,32.00,-3.2691,3.8615,0.1682,0.0168,-0.0160,-1.9107,flat,18.0,2,9.920
1010,32.32,-3.4359,3.3527,0.1824,0.0084,-0.0158,-1.8618,flat,18.0,2,9.393
1020,32.64,-3.5958,2.8106,0.1871,0.0125,0.0033,-1.8514,flat,18.0,2,8.840
1030,32.96,-3.7558,2.2690,0.1909,0.0203,-0.0020,-1.8652,flat,18.0,2,8.290
1040,33.28,-3.9232,1.7326,0.1901,0.0283,0.0038,-1.8973,flat,18.0,2,7.743
1050,33.60,-4.1123,1.2149,0.1850,0.0339,0.0095,-1.9660,flat,18.0,2,7.202
1060,33.92,-4.3322,0.7051,0.1782,0.0349,0.0167,-2.0208,flat,18.0,2,6.653
1070,34.24,-4.5620,0.2468,0.1686,0.0367,0.0208,-2.0641,rough,15.5,2,6.143
1080,34.56,-4.7968,-0.1765,0.1582,0.0374,0.0223,-2.0923,rough,15.5,2,5.661
1090,34.88,-5.0449,-0.5922,0.1474,0.0375,0.0222,-2.1230,rough,15.5,2,5.177
1100,35.20,-5.3048,-1.0047,0.1377,0.0366,0.0195,-2.1430,rough,15.5,2,4.689
1110,35.52,-5.5733,-1.4147,0.1294,0.0368,0.0133,-2.1556,rough,15.5,2,4.199
1120,35.84,-5.8469,-1.8242,0.1243,0.0356,0.0059,-2.1616,rough,15.5,2,3.707
1130,36.16,-6.1227,-2.2345,0.1235,0.0369,-0.0003,-2.1617,rough,15.5,2,3.212
1140,36.48,-6.4035,-2.6558,0.1268,0.0341,-0.0107,-2.1540,flat,18.0,2,2.706
1150,36.80,-6.7077,-3.1287,0.1350,0.0331,-0.0151,-2.1293,flat,18.0,2,2.144
1160,37.12,-6.9992,-3.5957,0.1505,0.0288,-0.0303,-2.1323,flat,18.0,2,1.594
1170,37.44,-7.2612,-4.0097,0.1675,0.0315,-0.0413,-2.1404,flat,18.0,2,1.104
1180,37.76,-7.5519,-4.4454,0.1859,0.0389,-0.0412,-2.2040,flat,18.0,0,0.974
1190,38.08,-7.8588,-4.8591,0.2093,0.0268,-0.0440,-2.1983,flat,18.0,0,13.208
1200,38.40,-8.1273,-5.2436,0.2306,0.0210,-0.0472,-2.1254,flat,18.0,0,13.491
1210,38.72,-8.3387,-5.6023,0.2499,0.0141,-0.0469,-2.0142,flat,18.0,0,13.726
1220,39.04,-8.4978,-5.9441,0.2671,0.0055,-0.0453,-1.8624,flat,18.0,0,13.915
1230,39.36,-8.5928,-6.2749,0.2819,-0.0038,-0.0417,-1.6824,flat,18.0,0,14.047
1240,39.68,-8.6281,-6.5971,0.2943,-0.0127,-0.0346,-1.4776,flat,18.0,0,14.126
1250,40.00,-8.5968,-6.9133,0.3040,-0.0176,-0.0230,-1.3058,flat,18.0,0,14.145
1260,40.32,-8.5016,-7.2300,0.3108,-0.0191,-0.0178,-1.2160,flat,18.0,0,14.109
1270,40.64,-8.3679,-7.5594,0.3151,-0.0184,-0.0069,-1.1255,flat,18.0,0,14.045
1280,40.96,-8.1915,-7.9092,0.3161,-0.0178,0.0058,-1.0530,flat,18.0,0,13.954
1290,41.28,-7.9729,-8.2727,0.3119,-0.0135,0.0070,-0.9877,flat,18.0,0,13.836
