step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,2.0165,0.4847,0.7094,0.1013,-0.3147,-0.1082,rough,15.5,0,6.407
20,0.64,2.1976,0.4400,0.7711,0.1102,-0.4166,-0.1794,rough,15.5,0,6.243
30,0.96,2.5690,0.3600,0.9477,0.1029,-0.4503,-0.1923,rough,15.5,0,5.907
40,1.28,2.9314,0.2761,1.1267,0.1174,-0.4542,-0.2404,rough,15.5,0,5.586
50,1.60,3.2835,0.1764,1.2989,0.1184,-0.4346,-0.2607,rough,15.5,0,5.287
60,1.92,3.6561,0.0790,1.4725,0.0823,-0.4143,-0.2054,rough,15.5,0,4.978
70,2.24,4.0280,-0.0035,1.6402,0.0676,-0.4073,-0.1724,rough,15.5,0,4.673
80,2.56,4.4022,-0.0703,1.7947,0.0294,-0.3704,-0.1535,rough,15.5,0,4.371
90,2.88,4.7769,-0.1311,1.9454,0.0375,-0.3596,-0.1163,rough,15.5,0,4.079
100,3.20,5.1531,-0.1763,2.0832,0.0226,-0.3479,-0.0709,rough,15.5,0,3.792
110,3.52,5.5213,-0.2013,2.2130,0.0143,-0.3305,-0.0483,rough,15.5,0,3.515
120,3.84,5.8775,-0.2187,2.3329,0.0084,-0.3163,-0.0280,rough,15.5,0,3.260
130,4.16,6.2182,-0.2281,2.4460,0.0054,-0.3173,-0.0174,rough,15.5,0,3.030
140,4.48,6.5428,-0.2336,2.5520,0.0035,-0.3138,-0.0100,rough,15.5,0,2.829
150,4.80,6.8478,-0.2367,2.6508,0.0025,-0.3132,-0.0054,rough,15.5,0,2.660
160,5.12,7.1319,-0.2382,2.7427,0.0019,-0.3125,-0.0027,rough,15.5,0,2.525
170,5.44,7.3941,-0.2389,2.8275,0.0015,-0.3136,-0.0009,rough,15.5,0,2.423
180,5.76,7.6346,-0.2392,2.9054,0.0015,-0.3135,-0.0002,rough,15.5,0,2.351
190,6.08,8.0025,-0.2382,2.8550,-0.0030,0.6557,0.0058,rough,15.5,0,2.284
200,6.40,8.4903,-0.2880,2.3990,2.6643,1.0803,2.6490,rough,15.5,0,2.336
210,6.72,8.8814,-0.5217,2.2828,2.5546,-0.0177,-3.0656,rough,15.5,0,2.637
220,7.04,9.0331,-0.6048,2.2380,2.7368,0.3097,3.0983,rough,15.5,0,2.758
230,7.36,9.1588,-0.6211,2.2791,2.6785,0.4708,3.0422,rough,15.5,0,2.812
240,7.68,9.3029,-0.6342,2.3619,2.6722,0.5044,3.0576,rough,15.5,0,2.875
250,8.00,9.4413,-0.6290,2.4522,2.6799,0.6485,3.1182,rough,15.5,0,2.924
260,8.32,9.5652,-0.5742,2.5554,2.9140,0.6917,-2.8575,rough,15.5,0,2.929
270,8.64,9.6424,-0.4542,2.6583,-2.9157,0.5845,-2.1168,rough,15.5,0,2.860
280,8.96,9.5786,-0.5535,2.5737,-2.7100,0.6012,-1.8611,slope,18.0,0,2.917
290,9.28,9.5151,-0.8582,2.3958,-2.6242,0.4952,-1.7916,rough,15.5,0,3.164
300,9.60,9.4440,-1.1339,2.2559,-2.6239,0.3764,-1.8002,rough,15.5,0,3.392
310,9.92,9.3274,-1.4046,2.1632,-2.7226,0.0973,-1.8954,rough,15.5,0,3.609
320,10.24,9.2086,-1.5940,2.1054,-2.8311,-0.0022,-1.8846,rough,15.5,0,3.757
330,10.56,9.1431,-1.7559,2.0947,-2.9941,-0.0939,-1.8795,rough,15.5,0,3.898
340,10.88,9.1365,-1.7916,2.0955,-3.0071,-0.1781,-1.8022,rough,15.5,0,3.931
350,11.20,9.1251,-1.6435,2.0586,-2.9728,-0.0184,-1.8011,rough,15.5,0,3.784
360,11.52,9.0941,-1.5225,2.0570,-2.8587,-0.0214,-1.9047,rough,15.5,0,3.659
370,11.84,9.0735,-1.4181,2.0453,-2.9005,0.0038,-1.7316,rough,15.5,0,3.553
380,12.16,9.0652,-1.2828,2.0565,-2.8578,0.1107,-1.7841,rough,15.5,0,3.420
390,12.48,9.0639,-1.2682,2.0572,-2.8517,0.1071,-1.7573,rough,15.5,0,3.405
400,12.80,9.0506,-1.2922,2.0584,-2.8597,0.0596,-1.7823,rough,15.5,0,3.425
410,13.12,9.0774,-1.3641,2.0419,-2.8799,0.0229,-1.7546,rough,15.5,0,3.502
420,13.44,9.0740,-1.3818,2.0466,-2.9026,0.0320,-1.7919,rough,15.5,0,3.518
430,13.76,9.0879,-1.3820,2.0479,-2.8929,0.0535,-1.7899,rough,15.5,0,3.522
440,14.08,9.0745,-1.3797,2.0451,-2.8740,0.0225,-1.7038,rough,15.5,0,3.516
450,14.40,9.0792,-1.2909,2.0588,-2.8344,0.1469,-1.7844,rough,15.5,0,3.431
460,14.72,9.0648,-1.2956,2.0561,-2.8695,0.1047,-1.7952,rough,15.5,0,3.432
470,15.04,9.0803,-1.4321,2.0484,-2.8710,-0.0293,-1.7538,rough,15.5,0,3.568
480,15.36,9.0773,-1.3861,2.0438,-2.8880,0.0328,-1.7649,rough,15.5,0,3.523
490,15.68,9.0679,-1.3242,2.0524,-2.8853,0.0764,-1.7939,rough,15.5,0,3.461
500,16.00,9.0738,-1.4084,2.0466,-2.8856,0.0263,-1.7741,rough,15.5,0,3.544
510,16.32,9.0825,-1.3797,2.0455,-2.9004,0.0574,-1.7857,rough,15.5,0,3.518
520,16.64,9.0656,-1.4231,2.0436,-2.8496,-0.0552,-1.6805,rough,15.5,0,3.556
530,16.96,9.0750,-1.3400,2.0494,-2.8735,0.0638,-1.7522,rough,15.5,0,3.478
540,17.28,9.0661,-1.3290,2.0523,-2.8938,0.0701,-1.8003,rough,15.5,0,3.465
550,17.60,9.0699,-1.4062,2.0490,-2.8759,-0.0141,-1.7822,rough,15.5,0,3.541
560,17.92,9.0754,-1.3849,2.0451,-2.8961,0.0388,-1.7855,rough,15.5,0,3.521
570,18.24,9.0735,-1.3858,2.0439,-2.8970,0.0340,-1.7703,rough,15.5,0,3.522
580,18.56,9.0700,-1.3739,2.0455,-2.9112,0.0410,-1.7798,rough,15.5,0,3.509
590,18.88,9.0818,-1.3872,2.0414,-2.9202,0.0315,-1.7529,rough,15.5,0,3.525
600,19.20,9.0674,-1.4157,2.0446,-2.8439,-0.0573,-1.7237,rough,15.5,0,3.549
610,19.52,9.0709,-1.3790,2.0479,-2.9037,0.0287,-1.7897,rough,15.5,0,3.515
620,19.84,9.0751,-1.3920,2.0439,-2.8756,0.0167,-1.7769,rough,15.5,0,3.528
630,20.16,9.0752,-1.3774,2.0449,-2.8924,0.0404,-1.7297,rough,15.5,0,3.514
640,20.48,9.0824,-1.3885,2.0469,-2.8918,0.0348,-1.7815,rough,15.5,0,3.527
650,20.80,9.0854,-1.3783,2.0488,-2.8911,0.0603,-1.7853,rough,15.5,0,3.517
660,21.12,9.0851,-1.3798,2.0462,-2.8845,0.0505,-1.7698,rough,15.5,0,3.519
670,21.44,9.0805,-1.3951,2.0460,-2.8888,0.0455,-1.7986,rough,15.5,0,3.533
680,21.76,9.0750,-1.3879,2.0465,-2.8932,0.0193,-1.7681,rough,15.5,0,3.524
690,22.08,9.0764,-1.3823,2.0451,-2.8954,0.0381,-1.7630,rough,15.5,0,3.519
700,22.40,9.0715,-1.3762,2.0466,-2.9088,0.0350,-1.8081,rough,15.5,0,3.512
710,22.72,9.0746,-1.3749,2.0460,-2.8853,0.0365,-1.7646,rough,15.5,0,3.511
720,23.04,9.0768,-1.3970,2.0457,-2.8835,0.0233,-1.7732,rough,15.5,0,3.533
730,23.36,9.0839,-1.3856,2.0475,-2.8990,0.0556,-1.8100,rough,15.5,0,3.524
740,23.68,9.0806,-1.3947,2.0466,-2.8871,0.0326,-1.7880,rough,15.5,0,3.532
750,24.00,9.0852,-1.3353,2.0513,-2.8678,0.0743,-1.7616,rough,15.5,0,3.476
760,24.32,9.0706,-1.4077,2.0426,-2.8939,0.0063,-1.7501,rough,15.5,0,3.542
770,24.64,9.0818,-1.4293,2.0490,-2.8693,-0.0052,-1.8040,rough,15.5,0,3.566
780,24.96,9.0703,-1.3749,2.0447,-2.8885,0.0353,-1.7275,rough,15.5,0,3.510
790,25.28,9.0652,-1.2984,2.0549,-2.8799,0.0881,-1.7905,rough,15.5,0,3.435
800,25.60,9.0689,-1.2877,2.0585,-2.8530,0.1267,-1.7920,rough,15.5,0,3.425
810,25.92,9.0497,-1.3779,2.0505,-2.9072,-0.0309,-1.7813,rough,15.5,0,3.509
820,26.24,9.0811,-1.3873,2.0463,-2.8973,0.0402,-1.7656,rough,15.5,0,3.525
830,26.56,9.0681,-1.3796,2.0444,-2.8614,-0.0018,-1.7576,rough,15.5,0,3.515
840,26.88,9.0752,-1.3819,2.0462,-2.9077,0.0347,-1.7959,rough,15.5,0,3.518
850,27.20,9.0865,-1.3831,2.0470,-2.9032,0.0423,-1.7714,rough,15.5,0,3.522
860,27.52,9.0731,-1.3762,2.0470,-2.9148,0.0364,-1.7992,rough,15.5,0,3.512
870,27.84,9.0763,-1.4068,2.0469,-2.8754,0.0170,-1.7941,rough,15.5,0,3.543
880,28.16,9.0823,-1.4206,2.0492,-2.8640,0.0030,-1.7950,rough,15.5,0,3.558
890,28.48,9.0609,-1.3818,2.0482,-2.9231,0.0136,-1.7759,rough,15.5,0,3.515
900,28.80,9.0852,-1.3762,2.0490,-2.8896,0.0636,-1.8001,rough,15.5,0,3.515
910,29.12,9.0845,-1.3912,2.0476,-2.8900,0.0528,-1.8217,rough,15.5,0,3.530
920,29.44,9.0846,-1.3736,2.0508,-2.8875,0.0798,-1.8149,rough,15.5,0,3.513
930,29.76,9.0739,-1.3889,2.0454,-2.8881,0.0167,-1.7499,rough,15.5,0,3.525
940,30.08,9.0726,-1.3846,2.0483,-2.9059,0.0345,-1.8060,rough,15.5,0,3.520
950,30.40,9.0785,-1.3794,2.0473,-2.9011,0.0465,-1.7868,rough,15.5,0,3.517
960,30.72,9.0846,-1.3848,2.0466,-2.8875,0.0409,-1.7960,rough,15.5,0,3.523
970,31.04,9.0655,-1.4091,2.0471,-2.8792,-0.0089,-1.7641,rough,15.5,0,3.543
980,31.36,9.0764,-1.3713,2.0480,-2.9087,0.0398,-1.7733,rough,15.5,0,3.508
990,31.68,9.0778,-1.3889,2.0455,-2.8928,0.0335,-1.7783,rough,15.5,0,3.526
1000,32.00,9.0807,-1.3443,2.0467,-2.8779,0.0822,-1.7825,rough,15.5,0,3.483
1010,32.32,9.0756,-1.3768,2.0418,-2.9128,0.0680,-1.8113,rough,15.5,0,3.514
1020,32.64,9.0687,-1.3904,2.0467,-2.8797,-0.0014,-1.7453,rough,15.5,0,3.525
1030,32.96,9.0819,-1.3901,2.0468,-2.8920,0.0381,-1.7838,rough,15.5,0,3.528
1040,33.28,9.0734,-1.3682,2.0464,-2.8848,0.0495,-1.7819,rough,15.5,0,3.505
1050,33.60,9.0735,-1.3442,2.0440,-2.8732,0.0861,-1.7500,rough,15.5,0,3.481
1060,33.92,9.0776,-1.3617,2.0461,-2.8952,0.0392,-1.8151,rough,15.5,0,3.499
1070,34.24,9.0760,-1.3688,2.0461,-2.8914,0.0423,-1.7977,rough,15.5,0,3.506
1080,34.56,9.0758,-1.3682,2.0492,-2.9114,0.0519,-1.8043,rough,15.5,0,3.505
1090,34.88,9.0783,-1.3929,2.0449,-2.8861,0.0424,-1.8079,rough,15.5,0,3.530
1100,35.20,9.0779,-1.3979,2.0430,-2.8721,0.0006,-1.7371,rough,15.5,0,3.535
1110,35.52,9.0853,-1.3544,2.0534,-2.8906,0.0853,-1.7860,rough,15.5,0,3.494
1120,35.84,9.0875,-1.3700,2.0504,-2.8852,0.0710,-1.7889,rough,15.5,0,3.510
1130,36.16,9.0781,-1.3740,2.0490,-2.9025,0.0594,-1.8133,rough,15.5,0,3.511
1140,36.48,9.0829,-1.3801,2.0470,-2.8910,0.0440,-1.7751,rough,15.5,0,3.518
1150,36.80,9.0737,-1.4001,2.0443,-2.8713,-0.0078,-1.7304,rough,15.5,0,3.536
1160,37.12,9.0779,-1.3458,2.0479,-2.8778,0.0750,-1.7617,rough,15.5,0,3.484
1170,37.44,9.0826,-1.3913,2.0465,-2.8906,0.0475,-1.8014,rough,15.5,0,3.529
1180,37.76,9.0712,-1.3751,2.0477,-2.9087,0.0390,-1.7863,rough,15.5,0,3.511
