step,time_s,x,y,z,roll,pitch,yaw,terrain,speed,target_idx,dist_to_target
10,0.32,0.0043,-0.0582,0.1766,0.0023,-0.0171,0.0006,flat,18.0,0,5.395
20,0.64,0.3067,-0.0607,0.1806,-0.0003,0.0051,-0.0758,flat,18.0,0,5.160
30,0.96,0.7172,-0.1134,0.1798,-0.0003,0.0002,-0.4387,flat,18.0,0,4.818
40,1.28,1.1283,-0.3514,0.1793,-0.0022,0.0001,-0.6681,flat,18.0,0,4.357
50,1.60,1.5137,-0.6966,0.1799,0.0000,-0.0001,-0.8027,flat,18.0,0,3.840
60,1.92,1.8797,-1.1036,0.1799,-0.0001,-0.0000,-0.8693,flat,18.0,0,3.294
70,2.24,2.2445,-1.5412,0.1799,-0.0000,0.0000,-0.8729,flat,18.0,0,2.728
80,2.56,2.6097,-1.9643,0.1799,0.0002,0.0000,-0.8341,flat,18.0,0,2.173
90,2.88,2.9794,-2.3518,0.1799,0.0002,0.0001,-0.7769,flat,18.0,0,1.639
100,3.20,3.3208,-2.6709,0.1799,0.0002,0.0001,-0.7148,flat,18.0,0,1.173
110,3.52,3.6610,-2.9570,0.1798,-0.0000,0.0000,-0.7501,flat,18.0,1,6.946
120,3.84,3.9358,-3.2893,0.1799,0.0004,0.0002,-1.1108,flat,18.0,1,6.873
130,4.16,4.1062,-3.7065,0.1799,0.0005,-0.0003,-1.5583,flat,18.0,1,6.694
140,4.48,4.0771,-4.1490,0.1799,-0.0001,-0.0001,-1.9751,flat,18.0,1,6.372
150,4.80,3.8584,-4.5537,0.1798,-0.0001,-0.0000,-2.2501,flat,18.0,1,5.943
160,5.12,3.5188,-4.9055,0.1798,0.0001,0.0004,-2.4448,flat,18.0,1,5.458
170,5.44,3.1049,-5.2073,0.1799,-0.0002,-0.0000,-2.6058,flat,18.0,1,4.946
180,5.76,2.6326,-5.4608,0.1799,-0.0001,-0.0004,-2.7268,flat,18.0,1,4.422
190,6.08,2.1154,-5.6789,0.1831,-0.0087,-0.0119,-2.7584,flat,18.0,1,3.892
200,6.40,1.5960,-5.9000,0.1842,-0.0227,0.0056,-2.7216,flat,18.0,1,3.368
210,6.72,1.1104,-6.1358,0.1803,0.0005,0.0027,-2.6264,flat,18.0,1,2.870
220,7.04,0.6668,-6.4104,0.1812,-0.0034,-0.0038,-2.4995,flat,18.0,1,2.382
230,7.36,0.2660,-6.7346,0.1938,-0.0122,-0.0572,-2.3834,flat,18.0,1,1.891
240,7.68,-0.0815,-7.1107,0.2027,-0.0524,0.0157,-2.2820,rough,14.0,1,1.393
250,8.00,-0.3085,-7.4177,0.2000,-0.0446,0.0198,-2.1741,rough,14.0,1,1.019
260,8.32,-0.5416,-7.7709,0.1856,-0.0325,0.0250,-2.1458,flat,18.0,2,4.712
270,8.64,-0.8057,-8.1614,0.1782,-0.0007,-0.0104,-2.1941,flat,18.0,2,4.896
280,8.96,-1.0460,-8.4770,0.1802,-0.0029,-0.0013,-2.2817,flat,18.0,2,5.060
290,9.28,-1.2664,-8.7133,0.1837,-0.0178,-0.0051,-2.4015,flat,18.0,2,5.184
300,9.60,-1.4620,-8.8886,0.1875,-0.0235,-0.0150,-2.5243,flat,18.0,2,5.275
310,9.92,-1.6462,-9.0222,0.1859,-0.0376,-0.0068,-2.6499,flat,18.0,2,5.341
320,10.24,-1.8097,-9.1029,0.1894,-0.0476,-0.0028,-2.7695,rough,14.0,2,5.371
330,10.56,-1.9581,-9.1564,0.1920,-0.0573,0.0044,-2.8532,rough,14.0,2,5.384
340,10.88,-2.0807,-9.1962,0.1923,-0.0648,-0.0037,-2.9408,rough,14.0,2,5.394
350,11.20,-2.2027,-9.2209,0.1921,-0.0626,-0.0023,-2.9922,rough,14.0,2,5.393
360,11.52,-2.3388,-9.2523,0.1917,-0.0603,-0.0019,-3.1358,rough,14.0,2,5.398
370,11.84,-2.4723,-9.2705,0.1916,-0.0598,-0.0018,2.9343,rough,14.0,2,5.394
380,12.16,-2.5998,-9.2588,0.1920,-0.0621,-0.0019,2.7660,rough,14.0,2,5.365
390,12.48,-2.7213,-9.2231,0.1930,-0.0584,-0.0131,2.6299,rough,14.0,2,5.315
400,12.80,-2.8395,-9.1666,0.1949,-0.0533,-0.0322,2.5167,rough,14.0,2,5.248
410,13.12,-2.9743,-9.0657,0.1953,-0.0515,-0.0080,2.4298,rough,14.0,2,5.138
420,13.44,-3.1071,-8.9443,0.1909,-0.0254,0.0063,2.3486,rough,14.0,2,5.010
430,13.76,-3.2542,-8.8007,0.1929,-0.0513,-0.0004,2.2819,rough,14.0,2,4.864
440,14.08,-3.4079,-8.6197,0.1897,-0.0357,0.0056,2.2215,rough,14.0,2,4.684
450,14.40,-3.5812,-8.3700,0.1831,-0.0094,0.0104,2.1684,flat,18.0,2,4.443
460,14.72,-3.7974,-8.0278,0.1806,-0.0038,0.0015,2.1306,flat,18.0,2,4.123
470,15.04,-4.0489,-7.6191,0.1849,0.0054,-0.0595,2.1129,flat,18.0,2,3.761
480,15.36,-4.3222,-7.1654,0.2157,-0.0444,-0.0451,2.0495,slope,18.0,2,3.392
490,15.68,-4.4695,-6.7816,0.2253,-0.0375,0.0113,1.7996,flat,18.0,2,3.083
500,16.00,-4.5342,-6.3677,0.2106,-0.0323,0.0418,1.4388,flat,18.0,2,2.735
510,16.32,-4.4328,-5.8486,0.1874,-0.0112,0.0372,1.2966,flat,18.0,2,2.232
